name,terminology,code,term
diabetes_type2,SNOMED-CT,1481000119100,Diabetes mellitus type 2 without retinopathy (disorder)
diabetes_type2,SNOMED-CT,1491000119102,Vitreous hemorrhage due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,1511000119107,Peripheral neuropathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,1521000119100,Ulcer of foot due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,1531000119102,Dermopathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,1571000119104,Mixed hyperlipidemia due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,15936501000119100,Inflammatory dermatosis due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,164881000119109,Ulcer of foot due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,164971000119101,Type 2 diabetes mellitus controlled by diet
diabetes_type1,SNOMED-CT,16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
diabetes_type1,SNOMED-CT,16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
diabetes_type1,SNOMED-CT,16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16745051000119107,Nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,16745131000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder)
diabetes_type1,SNOMED-CT,16745411000119104,Mild nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder)
diabetes_type2,SNOMED-CT,16745531000119108,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder)
diabetes_type1,SNOMED-CT,16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder)
